feature,max_abs_corr_with_prior,top_prior_corrs
claim_agg_n_doc,0.9351847659893205,nunique_hosp:0.935; claim_cnt:0.840; ma3_nunique_acci_dvsn:0.511; sum_paym_amt:0.336; sum_dmnd_amt:0.333
claim_agg_n_hosp,1.0,nunique_hosp:1.000; claim_cnt:0.789; ma3_nunique_acci_dvsn:0.525; sum_paym_amt:0.270; sum_dmnd_amt:0.268
claim_agg_n_hosp_per_10_claims,0.45470994628938227,claim_cnt:0.455; sum_paym_amt:0.225; sum_dmnd_amt:0.224; acci_pct_2:0.148; ma3_nunique_acci_dvsn:0.143
claim_agg_paym_cv,0.3782313382775389,claim_cnt:0.378; sum_paym_amt:0.372; sum_dmnd_amt:0.370; ma3_max_dmnd_amt:0.358; ma3_std_dmnd_amt:0.336
claim_agg_paym_max_ratio,0.5983614708786782,claim_cnt:0.598; sum_paym_amt:0.504; sum_dmnd_amt:0.501; ma3_max_dmnd_amt:0.425; nunique_hosp:0.409
claim_agg_paym_sum,1.0,sum_paym_amt:1.000; sum_dmnd_amt:0.999; ma3_max_dmnd_amt:0.895; ma3_std_dmnd_amt:0.757; claim_cnt:0.419
claim_agg_recp_gap_mean_days,0.22523831715536916,ma3_nunique_acci_dvsn:0.225; nunique_hosp:0.073; ma3_max_nonpay_ratio:0.068; TOTALPREM:0.056; acci_pct_2:0.047
claim_agg_recp_gap_min_days,0.10417700661876889,claim_cnt:0.104; acci_pct_2:0.063; sum_paym_amt:0.053; sum_dmnd_amt:0.051; ma3_nunique_acci_dvsn:0.046
claim_agg_vlid_max,0.7955719625299776,mean_hosp_days:0.796; claim_cnt:0.394; nunique_hosp:0.363; sum_paym_amt:0.296; sum_dmnd_amt:0.295
claim_agg_vlid_std,0.6820742764685485,mean_hosp_days:0.682; claim_cnt:0.240; ma3_nunique_acci_dvsn:0.223; nunique_hosp:0.218; sum_paym_amt:0.216
claim_agg_weeks_multi_hosp,0.6729578112755447,nunique_hosp:0.673; claim_cnt:0.587; ma3_nunique_acci_dvsn:0.261; sum_paym_amt:0.197; sum_dmnd_amt:0.196
cust_claim_claim_rows,0.9999999999999999,claim_cnt:1.000; nunique_hosp:0.789; ma3_nunique_acci_dvsn:0.440; sum_paym_amt:0.419; sum_dmnd_amt:0.417
cust_claim_cnt_6m_to_12m,0.20072057874957577,MAX_PAYM_YM:0.201; claim_cnt:0.172; nunique_hosp:0.160; ma3_max_nonpay_ratio:0.118; ma3_nunique_acci_dvsn:0.098
cust_claim_cnt_prior_12m,0.42534613971539764,MAX_PAYM_YM:0.425; claim_cnt:0.304; nunique_hosp:0.291; ma3_nunique_acci_dvsn:0.190; IS_MISSING_MINCRDT:0.146
cust_claim_cnt_recent_6m,0.2147407844444661,MAX_PAYM_YM:0.215; claim_cnt:0.160; nunique_hosp:0.156; ma3_max_nonpay_ratio:0.131; IS_MISSING_MINCRDT:0.112
cust_claim_dmnd_max,1.0,ma3_max_dmnd_amt:1.000; sum_dmnd_amt:0.898; sum_paym_amt:0.895; ma3_std_dmnd_amt:0.869; claim_cnt:0.160
cust_claim_dmnd_mean,0.741065414172794,ma3_max_dmnd_amt:0.741; sum_dmnd_amt:0.586; sum_paym_amt:0.582; ma3_std_dmnd_amt:0.514; AGE:0.078
cust_claim_dmnd_sum,1.0,sum_dmnd_amt:1.000; sum_paym_amt:0.999; ma3_max_dmnd_amt:0.898; ma3_std_dmnd_amt:0.761; claim_cnt:0.417
cust_claim_first_claim_lag_m,0.9998363589757568,CUST_RGST:1.000; MAX_PAYM_YM:0.042; IS_MISSING_MINCRDT:0.023; ma3_max_nonpay_ratio:0.023; TOTALPREM:0.022
cust_claim_heed_claim_share,1.0,ma3_frac_heed_claim_rows:1.000; is_heed_hosp:0.789; CTPR:0.051; AGE:0.038; claim_cnt:0.034
cust_claim_hosp_nunique,1.0,nunique_hosp:1.000; claim_cnt:0.789; ma3_nunique_acci_dvsn:0.525; sum_paym_amt:0.270; sum_dmnd_amt:0.268
cust_claim_incm_missing_or_zero,0.873225432337729,CUST_INCM:0.873; ma3_cust_minus_jpbase_incm:0.477; SEX:0.244; AGE:0.195; ma3_absdiff_hh_incm_est:0.193
cust_claim_paym_dmnd_ratio,0.15807493491401392,paym_rate:0.158; ma3_absdiff_hh_incm_est:0.020; RESI_COST:0.017; RCBASE_HSHD_INCM:0.017; OCCP_GRP_1:0.013
cust_claim_paym_max,0.9981171569319102,ma3_max_dmnd_amt:0.998; sum_paym_amt:0.897; sum_dmnd_amt:0.896; ma3_std_dmnd_amt:0.864; claim_cnt:0.162
cust_claim_paym_mean,0.7392989816512472,ma3_max_dmnd_amt:0.739; sum_dmnd_amt:0.584; sum_paym_amt:0.582; ma3_std_dmnd_amt:0.508; AGE:0.078
cust_claim_paym_sum,1.0,sum_paym_amt:1.000; sum_dmnd_amt:0.999; ma3_max_dmnd_amt:0.895; ma3_std_dmnd_amt:0.757; claim_cnt:0.419
cust_claim_peer_paym_z,0.6163709240773924,sum_paym_amt:0.616; sum_dmnd_amt:0.614; claim_cnt:0.534; ma3_max_dmnd_amt:0.476; ma3_std_dmnd_amt:0.394
cust_claim_prem_incm_ratio,0.3841082379662554,CUST_INCM:0.384; TOTALPREM:0.339; MAX_PRM:0.288; ma3_cust_minus_jpbase_incm:0.260; CHLD_CNT:0.225
cust_claim_recent6_vs_prior_ratio,0.15349221011711242,MAX_PAYM_YM:0.153; ma3_max_nonpay_ratio:0.093; IS_MISSING_MINCRDT:0.091; MAXCRDT:0.079; MAX_PRM:0.077
cust_claim_tenure_m,0.8280471443567617,CUST_RGST:0.828; MAX_PAYM_YM:0.076; IS_MISSING_MINCRDT:0.042; ma3_max_nonpay_ratio:0.030; acci_pct_1:0.028
cust_claim_top_hosp_share,0.7231451753552993,nunique_hosp:0.723; ma3_nunique_acci_dvsn:0.548; claim_cnt:0.491; is_heed_hosp:0.175; mean_hosp_days:0.169
cust_claim_vlid_max,0.7955719625299776,mean_hosp_days:0.796; claim_cnt:0.394; nunique_hosp:0.363; sum_paym_amt:0.296; sum_dmnd_amt:0.295
cust_claim_vlid_sum,0.8122688725860988,claim_cnt:0.812; nunique_hosp:0.672; mean_hosp_days:0.499; sum_paym_amt:0.414; sum_dmnd_amt:0.412
peer_z_claim_count_spec,0.9795825814557071,claim_cnt:0.980; nunique_hosp:0.752; ma3_nunique_acci_dvsn:0.434; sum_paym_amt:0.419; sum_dmnd_amt:0.416
peer_z_n_hosp_spec,0.9522752713163808,nunique_hosp:0.952; claim_cnt:0.767; ma3_nunique_acci_dvsn:0.529; sum_paym_amt:0.277; sum_dmnd_amt:0.275
peer_z_paym_sum_spec,0.9205939706459654,sum_paym_amt:0.921; sum_dmnd_amt:0.920; ma3_max_dmnd_amt:0.790; ma3_std_dmnd_amt:0.638; claim_cnt:0.480
